file: csv - 111: F04 vs. 
file: csv - 11948: O89.0 vs. O89.0)
file: csv - 11953: R09.2 vs. R09.2)
file: csv - 11954: J95.- vs. J95.-)
file: csv - 11955: R09.2 vs. R09.2)
file: csv - 11956: J80 vs. J80.-
file: csv - 11962: R06.8 vs. R06.8)
file: csv - 11963: P28.4 vs. P28.4)
file: csv - 11964: G47.3 vs. G47.3)
file: csv - 11980: J43.9 vs. J43.9)
file: csv - 11981: P25.0 vs. P25.0)
file: csv - 11982: T81.8 vs. T81.8)
file: csv - 11983: T79.7 vs. T79.7)
file: csv - 11995: J85.3 vs. J85.3)
file: csv - 12000: Q79.1 vs. Q79.1)
file: csv - 12001: K44.- vs. K44.-)
file: csv - 12002: Q79.0 vs. Q79.0)
file: csv - 12007: M05.1 vs. M05.1)
file: csv - 12009: M33.0-M33.1 vs. M33.0-M33.1)
file: csv - 12010: M33.2 vs. M33.2)
file: csv - 12011: M35.0 vs. M35.0)
file: csv - 12014: M31.3 vs. M31.3)
file: csv - 12016: A06.5 vs. A06.5)
file: csv - 12017: M45 vs. M45)
file: csv - 12018: D89.1 vs. D89.1)
file: csv - 12019: B42.0 vs. B42.0)
file: csv - 12020: A52.7 vs. A52.7)
file: csv - 12022: P00-P96 vs. P00-P96)
file: csv - 12023: A00-B99 vs. A00-B99)
file: csv - 12024: O00-O99 vs. O00-O99)
file: csv - 12025: Q00-Q99 vs. Q00-Q99)
file: csv - 12026: E00-E90 vs. E00-E90)
file: csv - 12027: S00-T98 vs. S00-T98)
file: csv - 12028: C00-D48 vs. C00-D48)
file: csv - 12029: R00-R99 vs. R00-R99)
file: csv - 12032: K01.- vs. K01.-)
file: csv - 12060: K03.6 vs. K03.6)
file: csv - 12067: A50.5 vs. A50.5)
file: csv - 12068: K00.3 vs. K00.3)
file: csv - 12089: K07.3 vs. K07.3)
file: csv - 12106: F45.8 vs. F45.8)
file: csv - 12107: K02.- vs. K02.-)
file: csv - 12108: F45.8 vs. F45.8)
file: csv - 12144: K03.6 vs. K03.6)
file: csv - 12181: K09.0 vs. K09.0)
file: csv - 12185: A69.1 vs. A69.1)
file: csv - 12186: B00.2 vs. B00.2)
file: csv - 12197: K04.4 vs. K04.4)
file: csv - 12198: K04.7 vs. K04.7)
file: csv - 12199: K04.6 vs. K04.6)
file: csv - 12210: K08.2 vs. K08.2)
file: csv - 12211: K05.1 vs. K05.1)
file: csv - 12212: K05.0 vs. K05.0)
file: csv - 12213: K05.1 vs. K05.1)
file: csv - 12229: Q67.4 vs. Q67.4)
file: csv - 12230: K10.8 vs. K10.8)
file: csv - 12236: E22.0 vs. E22.0)
file: csv - 12237: Q87.0 vs. Q87.0)
file: csv - 12261: K01.- vs. K01.-)
file: csv - 12268: F45.8 vs. F45.8)
file: csv - 12269: F45.8 vs. F45.8)
file: csv - 12275: S03.0 vs. S03.0)
file: csv - 12276: S03.4 vs. S03.4)
file: csv - 12291: K04.8 vs. K04.8)
file: csv - 12310: K10.0 vs. K10.0)
file: csv - 12311: K10.0 vs. K10.0)
file: csv - 12328: K06.8 vs. K06.8)
file: csv - 12350: B26.- vs. B26.-)
file: csv - 12351: D86.8 vs. D86.8)
file: csv - 12354: Q38.4 vs. Q38.4)
file: csv - 12366: R68.2 vs. R68.2)
file: csv - 12374: M35.0 vs. M35.0)
file: csv - 12378: A69.0 vs. A69.0)
file: csv - 12379: K13.0 vs. K13.0)
file: csv - 12380: A69.0 vs. A69.0)
file: csv - 12381: B00.2 vs. B00.2)
file: csv - 12382: A69.0 vs. A69.0)
file: csv - 12397: K04.6-K04.7 vs. K04.6-K04.7)
file: csv - 12398: K05.2 vs. K05.2)
file: csv - 12399: J36 vs. J36)
file: csv - 12400: K11.3 vs. K11.3)
file: csv - 12401: K14.0 vs. K14.0)
file: csv - 12408: J34.8 vs. J34.8)
file: csv - 12409: N76.8 vs. N76.8)
file: csv - 12410: K92.8 vs. K92.8)
file: csv - 12413: K05-K06 vs. K05-K06)
file: csv - 12414: K09.- vs. K09.-)
file: csv - 12415: K14.- vs. K14.-)
file: csv - 12416: K12.- vs. K12.-)
file: csv - 12425: E53.0 vs. E53.0)
file: csv - 12426: L55-L59 vs. L55-L59)
file: csv - 12427: B37.8 vs. B37.8)
file: csv - 12428: E53.0 vs. E53.0)
file: csv - 12435: K13.3 vs. K13.3)
file: csv - 12448: K13.2 vs. K13.2)
file: csv - 12449: K13.2 vs. K13.2)
file: csv - 12450: K13.2 vs. K13.2)
file: csv - 12451: K13.2 vs. K13.2)
file: csv - 12452: K13.3 vs. K13.3)
file: csv - 12453: Q38.2 vs. Q38.2)
file: csv - 12454: K13.5 vs. K13.5)
file: csv - 12458: K14.4 vs. K14.4)
file: csv - 12474: Q38.3 vs. Q38.3)
file: csv - 13443: P00-P96 vs. P00-P96)
file: csv - 13444: A00-B99 vs. A00-B99)
file: csv - 13445: O00-O99 vs. O00-O99)
file: csv - 13446: Q00-Q99 vs. Q00-Q99)
file: csv - 13447: E00-E90 vs. E00-F99
file: csv - 13448: S00-T98 vs. S00-T98)
file: csv - 13450: C00-D48 vs. C00-D48)
file: csv - 13451: R00-R99 vs. R00-R99)
file: csv - 13452: M30-M36 vs. M30-M36)
file: csv - 13457: A46 vs. A46-
file: csv - 13458: A26.- vs. A26-
file: csv - 13460: A60.- vs. A60
file: csv - 13561: R59.- vs. R59.-!!!
file: csv - 13726: L27.2 vs. 
file: csv - 13753: L27.2 vs. 
file: csv - 14233: L00-L08 vs. L00-L08)
file: csv - 14248: L00-L08 vs. L00-L08)
file: csv - 14258: E78.8 vs. 
file: csv - 14306: B06.8 vs. B06.8†
file: csv - 14314: M35.2 vs. 
file: csv - 14373: K50.- vs. K50.
file: csv - 14396: L40.5 vs. L40.5 †
file: csv - 14397: K50.- vs. K50.-†
file: csv - 14474: L52 vs. L52.-
file: csv - 14886: G99.2 vs. 
file: csv - 14887: M43.3-M43.5 vs. 
file: csv - 14922: G95.0 vs. G95.0†
file: csv - 14925: C79.5 vs. C79.5†
file: csv - 15189: N13.5 vs. 
file: csv - 15436: A18.0 vs. A18.0*
file: csv - 15573: P00-P96 vs. P00-P96)
file: csv - 15574: A00-B99 vs. A00-B99)
file: csv - 15575: O00-O99 vs. O00-O99)
file: csv - 15576: Q00-Q99 vs. Q00-Q99)
file: csv - 15577: E00-E90 vs. E00-E90)
file: csv - 15578: S00-T98 vs. S00-T98)
file: csv - 15579: C00-D48 vs. C00-D48)
file: csv - 15580: R00-R99 vs. R00-R99)
file: csv - 15584: I12.- vs. I12.-)
file: csv - 15591: N10 vs. N10)
file: csv - 15592: N05.- vs. N05.-)
file: csv - 15598: N05.- vs. N05.-)
file: csv - 15603: R31 vs. R31)
file: csv - 15609: N11.- vs. N11
file: csv - 15610: N18.- vs. N18.-)
file: csv - 15611: N05.- vs. N05.-)
file: csv - 15622: N28.9 vs. N28.9)
file: csv - 15623: N28.9 vs. N28.9)
file: csv - 15624: N12 vs. N12)
file: csv - 15628: R80 vs. R80)
file: csv - 15629: R80 vs. R80)
file: csv - 15630: O12.1 vs. O12.1)
file: csv - 15631: R80 vs. R80)
file: csv - 15632: N39.2 vs. N39.1
file: csv - 15633: N39.1 vs. N39.1)
file: csv - 15636: Q87.8 vs. Q87.8)
file: csv - 15637: E85.0 vs. E85.0)
file: csv - 15638: Q87.2 vs. Q87.2)
file: csv - 15639: E85.0 vs. E85.0)
file: csv - 15642: N16.- vs. N16.-)
file: csv - 15644: B52.0 vs. B52.0)
file: csv - 15645: B26.8 vs. B26.8)
file: csv - 15648: B78.- vs. B78.-)
file: csv - 15649: A52.7 vs. A52.7)
file: csv - 15651: C90.0 vs. C90.0)
file: csv - 15652: C88.0 vs. C88.0)
file: csv - 15654: D89.1 vs. D89.1)
file: csv - 15655: D65 vs. D65)
file: csv - 15656: D59.3 vs. D59.3)
file: csv - 15657: D69.0 vs. D69.0)
file: csv - 15658: D57.- vs. D57.-)
file: csv - 15661: E85.- vs. E85.-)
file: csv - 15662: E75.2 vs. E75.2)
file: csv - 15663: E78.6 vs. E78.6)
file: csv - 15665: M31.0 vs. M31.0)
file: csv - 15666: M31.7 vs. M31.7)
file: csv - 15667: M32.1 vs. M32.1)
file: csv - 15668: M31.1 vs. M31.1)
file: csv - 15669: M31.3 vs. M31.3)
file: csv - 15671: I33.0 vs. I33.0)
file: csv - 15675: N28.8 vs. N28.8)
file: csv - 15688: N13.7 vs. N13.7)
file: csv - 15702: N20.9 vs. N20.9)
file: csv - 15703: N13.- vs. N13.-)
file: csv - 15714: N20.9 vs. N20.9)
file: csv - 15716: N20.- vs. N20.-)
file: csv - 15718: N11.1 vs. N11.1)
file: csv - 15720: N13.6 vs. N13.6)
file: csv - 15722: N13.6 vs. N13.6)
file: csv - 15724: N13.6 vs. N13.6)
file: csv - 15726: N13.6 vs. N13.6)
file: csv - 15728: N13.6 vs. N13.6)
file: csv - 15730: N13.6 vs. N13.6)
file: csv - 15738: N11.0 vs. N11.0)
file: csv - 15756: N39.0 vs. N39.0)
file: csv - 15759: A23.- vs. A23.-)
file: csv - 15760: A36.8 vs. A36.8)
file: csv - 15761: A02.2 vs. A02.2)
file: csv - 15762: A40-A41 vs. A40-A41)
file: csv - 15763: B58.8 vs. B58.8)
file: csv - 15769: D89.1 vs. D89.1)
file: csv - 15770: D86.- vs. D86.-)
file: csv - 15772: E72.0 vs. E72.0)
file: csv - 15773: E74.0 vs. E74.0)
file: csv - 15774: E83.0 vs. E83.0)
file: csv - 15776: M35.0 vs. M35.0)
file: csv - 15777: M32.1 vs. M32.1)
file: csv - 15778: T86.- vs. T86.-)
file: csv - 15782: P96.0 vs. P96.0)
file: csv - 15783: N14.- vs. N14.-)
file: csv - 15784: R39.2 vs. R39.2)
file: csv - 15785: D59.3 vs. D59.3)
file: csv - 15786: K76.7 vs. K76.7)
file: csv - 15787: O90.4 vs. O90.4)
file: csv - 15788: R39.2 vs. R39.2)
file: csv - 15790: O90.4 vs. O90.4)
file: csv - 15791: N99.0 vs. N99.0)
file: csv - 15825: H32.8 vs. H32.8)
file: csv - 15826: I68.8 vs. I68.8)
file: csv - 15827: F02.8 vs. F02.8)
file: csv - 15828: G63.8 vs. G63.8)
file: csv - 15829: G99.8 vs. G99.8)
file: csv - 15830: I32.8 vs. I32.8)
file: csv - 15834: I12.0 vs. I12.0)
file: csv - 15835: P96.0 vs. P96.0)
file: csv - 15839: N13.2 vs. N13.2)
file: csv - 15854: N20.0 vs. N20.0)
file: csv - 15859: B65.- vs. B65.-)
file: csv - 15863: N20-N23 vs. N20-N23)
file: csv - 15880: I12.- vs. I12.-)
file: csv - 15881: N18.- vs. N18.-)
file: csv - 15889: N13.4 vs. N13.4)
file: csv - 15890: N00.9 vs. N00.9)
file: csv - 15891: N03.9 vs. N03.9)
file: csv - 15900: I70.1 vs. I70.1)
file: csv - 15901: I70.1 vs. I70.1)
file: csv - 15902: Q27.1 vs. Q27.1)
file: csv - 15905: Q61.- vs. Q61.-)
file: csv - 15919: A52.7 vs. A52.7)
file: csv - 15921: B65.- vs. B65.-)
file: csv - 15922: A18.1 vs. A18.1)
file: csv - 15924: E72.0 vs. E72.0)
file: csv - 15926: O08.8 vs. O08.4
file: csv - 15931: N41.3 vs. N41.3)
file: csv - 15933: N30.4 vs. N30.4)
file: csv - 15934: N30.3 vs. 
file: csv - 15944: G95.8 vs. G95.8)
file: csv - 15945: G95.8 vs. G95.8)
file: csv - 15946: G83.4 vs. G83.4)
file: csv - 15947: R32 vs. R32)
file: csv - 15959: N21.0 vs. N21.0)
file: csv - 15960: N81.1 vs. N81.1)
file: csv - 15961: N81.1 vs. N81.1)
file: csv - 15967: N82.0-N82.1 vs. N82.0-N82.1)
file: csv - 15970: N21.0 vs. N21.0)
file: csv - 15977: A18.1 vs. A18.1)
file: csv - 15979: B65.- vs. B65.-)
file: csv - 15982: M02.3 vs. M02.3)
file: csv - 15984: N30.3 vs. 
file: csv - 15990: N36.2 vs. N36.2)
file: csv - 16001: N99.1 vs. N99.1)
file: csv - 16022: N81.0 vs. N81.0)
file: csv - 16030: R31 vs. R31)
file: csv - 16031: N02.- vs. N02.-)
file: csv - 16032: N02.- vs. N02.-)
file: csv - 16033: R80 vs. R80)
file: csv - 16037: O11-O15 vs. O11-O15)
file: csv - 16038: N06.- vs. N06.-)
file: csv - 16040: N06.- vs. N06.-)
file: csv - 16048: R32 vs. R32)
file: csv - 16049: R32 vs. R32)
file: csv - 16050: F98.0 vs. F98.0)
file: csv - 16060: D29.1 vs. D29.1)
file: csv - 16077: D07.5 vs. D07.5)
file: csv - 16082: P83.5 vs. P83.5)
file: csv - 16110: D07.4 vs. 
file: csv - 16125: F52.2 vs. F52.2)
file: csv - 16137: N48.1-N48.2 vs. N48.1-N48.2)
file: csv - 16171: A54.2 vs. A54.2)
file: csv - 16172: A59.0 vs. A59.0)
